rank,make,model_gen,generation,segment,score,weight_coverage,stock,rarity,conservation,sorn_ratio,recent_inflection_point,relative_attrition,inflection_year,latest_year,components_available
1,NISSAN,SUNNY GTI-R,N14,GTI,0.8446417533906052,1.0,36,0.6677777518877718,1.0,0.8045977011494253,1.0,-0.19077593506972837,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
2,OPEL,LOTUS CARLTON,A,SPORTIVE,0.8137577870714481,1.0,65,0.612999304004437,0.9821428571428571,0.768361581920904,1.0,-0.11123857063227671,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
3,NISSAN,SKYLINE GT-R,R33,SPORTIVE,0.7927275748369436,1.0,34,0.6730768160396743,0.8303571428571428,0.7478070175438597,1.0,-0.03774652354063794,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
4,AUDI,RS2,B4,SPORTIVE,0.7913733141853145,1.0,34,0.6730768160396743,0.7767857142857142,0.808,1.0,-0.03415519101654393,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
5,RENAULT,CLIO V6,MK2,SPORTIVE,0.7607092772524915,1.0,152,0.5342441578941792,0.875,0.774869109947644,1.0,-0.04275439462748798,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
6,RENAULT,19 16V,MK1,GTI,0.7558395901609345,1.0,116,0.5593023374465597,0.7008928571428571,0.9243027888446215,1.0,-0.025010677891814055,2024,2026,rarity|conservation|sorn_ratio|recent_inflection_point
7,TOYOTA,CELICA GT-FOUR,ST185_ST205,SPORTIVE,0.7390774092792449,1.0,22,0.7134344507448137,0.5401785714285714,0.7716535433070866,1.0,-0.009852934080514686,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
8,MITSUBISHI,3000GT,Z16A,COUPE,0.730704618629461,1.0,203,0.5074212623525068,0.78125,0.7889733840304183,1.0,-0.03463670946214773,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
9,FORD,ESCORT RS COSWORTH,MK5,SPORTIVE,0.726700641767188,1.0,306,0.46937567723543194,0.7991071428571428,0.8132118451025057,1.0,-0.035913366594300555,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
10,ALFA ROMEO,155,167,PREMIUM,0.7119751619434382,1.0,423,0.4393579007120669,0.71875,0.8925619834710744,1.0,-0.0277938696463503,2023,2026,rarity|conservation|sorn_ratio|recent_inflection_point
11,NISSAN,200SX,S13,COUPE,0.709959647032403,1.0,363,0.4535394413954922,0.7544642857142857,0.813023855577047,1.0,-0.03302427926915581,2023,2026,rarity|conservation|sorn_ratio|recent_inflection_point
12,SAAB,9-3 VIGGEN,MK1,SPORTIVE,0.7032721839843643,1.0,91,0.5818055068465493,0.7053571428571428,0.616504854368932,1.0,-0.025623975483679857,2022,2026,rarity|conservation|sorn_ratio|recent_inflection_point
13,PEUGEOT,306 GTI-6,MK2,GTI,0.6959312575940244,1.0,257,0.4855541261171791,0.6383928571428571,0.8319454958364875,1.0,-0.01741756444951026,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
14,MITSUBISHI,FTO,DE,COUPE,0.6943523599520482,1.0,61,0.6188875291810635,0.45535714285714285,0.8195121951219512,1.0,-0.0032005419136744845,2022,2026,rarity|conservation|sorn_ratio|recent_inflection_point
15,FERRARI,575M,575M,SUPERCAR,0.6718370850455224,1.0,140,0.5418683190458243,0.6741071428571428,0.5682819383259912,1.0,-0.02102012902305198,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
16,SEAT,IBIZA CUPRA,6K,GTI,0.6683298331420766,1.0,114,0.560914697800044,0.7232142857142857,0.45603058741744873,1.0,-0.0280735005364751,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
17,FORD,FOCUS RS,MK1,GTI,0.6620156897748668,1.0,373,0.45102003680368735,0.9642857142857142,0.31543624161073824,1.0,-0.06903674572673985,2022,2026,rarity|conservation|sorn_ratio|recent_inflection_point
18,RENAULT,CLIO 16V,MK1,GTI,0.6595280055313543,1.0,148,0.5367165279725875,0.8794642857142857,0.25905574656188607,1.0,-0.042880494760274473,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
