make,model_gen,generation,segment,country,level,series,latest_year,stock,rarity_tier,cumulative_sales,survival,history_years,attrition,relative_attrition,n_peers,inflection_year,sorn_ratio
ABARTH,500,312,GTI,GB,generation,VEH0124,2025,23363,>=500,9033,0.9891612684702993,9,0.0008407257493754372,-0.04723290506085649,28,2017,0.05335878179328658
ABARTH,500,312,GTI,NL,generation,RDW,2026,198,<500,,1.0,0,,,0,,
ALFA ROMEO,147 GTA,937,GTI,GB,generation,VEH0124,2025,149,<500,373,0.39946380697050937,9,0.02581935301300131,-0.12540908701940828,25,2017,0.49830508474576274
ALFA ROMEO,147 GTA,937,GTI,NL,generation,RDW,2026,4,<20,,1.0,0,,,0,,
ALFA ROMEO,155,167,PREMIUM,GB,generation,VEH0124,2025,40,<100,,0.2597402597402597,9,0.04658731412505294,-0.0277938696463503,4,2023,0.8925619834710744
ALFA ROMEO,155,167,PREMIUM,NL,generation,RDW,2026,383,<500,,1.0,0,,,0,,
ALFA ROMEO,156,932,PREMIUM,GB,generation,VEH0124,2025,699,>=500,26558,0.0263197529934483,9,0.19160917341987135,0.043249532992534284,8,,0.7991111111111111
ALFA ROMEO,156,932,PREMIUM,NL,generation,RDW,2026,1624,>=500,,1.0,0,,,0,,
ALFA ROMEO,4C,960,SPORTIVE,GB,generation,VEH0124,2025,336,<500,541,0.6210720887245841,9,0.020208207272144858,-0.006841634874022191,17,2025,0.2993762993762994
ALFA ROMEO,4C,960,SPORTIVE,NL,generation,RDW,2026,144,<500,,1.0,0,,,0,,
ALFA ROMEO,8C,8C,SUPERCAR,GB,generation,VEH0124,2025,13,<20,53,0.24528301886792453,9,0.06921312159274813,0.02366160789887746,9,,0.6818181818181818
ALFA ROMEO,8C,8C,SUPERCAR,NL,generation,RDW,2026,27,<100,,1.0,0,,,0,,
ALFA ROMEO,BRERA,939,COUPE,GB,generation,VEH0124,2025,1314,>=500,3034,0.43309162821357944,9,0.10582822390747519,0.018533435860695377,25,,0.39187866927592957
