make,model_gen,generation,segment,country,level,series,year,stock,attrition,age_bucket
ALFA ROMEO,155,167,PREMIUM,GB,generation,VEH0124,2014,149,,3
ALFA ROMEO,155,167,PREMIUM,GB,generation,VEH0124,2015,154,,4
ALFA ROMEO,155,167,PREMIUM,GB,generation,VEH0124,2016,123,,4
ALFA ROMEO,155,167,PREMIUM,GB,generation,VEH0124,2017,107,0.1103724904945178,4
ALFA ROMEO,155,167,PREMIUM,GB,generation,VEH0124,2018,94,0.1645526067145419,4
ALFA ROMEO,155,167,PREMIUM,GB,generation,VEH0124,2019,77,0.15612631117291098,4
ALFA ROMEO,155,167,PREMIUM,GB,generation,VEH0124,2020,67,0.1560454050236467,5
ALFA ROMEO,155,167,PREMIUM,GB,generation,VEH0124,2021,55,0.17865386567917754,5
ALFA ROMEO,155,167,PREMIUM,GB,generation,VEH0124,2022,46,0.17172134178819634,5
ALFA ROMEO,155,167,PREMIUM,GB,generation,VEH0124,2023,49,0.10429077376011309,5
ALFA ROMEO,155,167,PREMIUM,GB,generation,VEH0124,2024,47,0.05239519450747091,5
ALFA ROMEO,155,167,PREMIUM,GB,generation,VEH0124,2025,40,0.04658731412505294,6
ALFA ROMEO,155,167,PREMIUM,NL,generation,RDW,2026,383,,6
ALFA ROMEO,156,932,PREMIUM,GB,generation,VEH0124,2014,11484,,2
ALFA ROMEO,156,932,PREMIUM,GB,generation,VEH0124,2015,8819,,2
ALFA ROMEO,156,932,PREMIUM,GB,generation,VEH0124,2016,6574,,2
ALFA ROMEO,156,932,PREMIUM,GB,generation,VEH0124,2017,4764,0.2932890369219212,3
ALFA ROMEO,156,932,PREMIUM,GB,generation,VEH0124,2018,3407,0.31702544874240485,3
ALFA ROMEO,156,932,PREMIUM,GB,generation,VEH0124,2019,2503,0.3218774875974632,3
ALFA ROMEO,156,932,PREMIUM,GB,generation,VEH0124,2020,1917,0.30344206247651534,3
ALFA ROMEO,156,932,PREMIUM,GB,generation,VEH0124,2021,1515,0.2701388999058321,3
ALFA ROMEO,156,932,PREMIUM,GB,generation,VEH0124,2022,1242,0.23358900964611676,4
ALFA ROMEO,156,932,PREMIUM,GB,generation,VEH0124,2023,1020,0.210319612255776,4
ALFA ROMEO,156,932,PREMIUM,GB,generation,VEH0124,2024,845,0.1946113635287651,4
ALFA ROMEO,156,932,PREMIUM,GB,generation,VEH0124,2025,699,0.19160917341987135,4
ALFA ROMEO,156,932,PREMIUM,NL,generation,RDW,2026,1624,,4
ALFA ROMEO,147 GTA,937,GTI,GB,generation,VEH0124,2014,254,,2
ALFA ROMEO,147 GTA,937,GTI,GB,generation,VEH0124,2015,253,,2
ALFA ROMEO,147 GTA,937,GTI,GB,generation,VEH0124,2016,238,,2
ALFA ROMEO,147 GTA,937,GTI,GB,generation,VEH0124,2017,226,0.03893308924875013,2
ALFA ROMEO,147 GTA,937,GTI,GB,generation,VEH0124,2018,214,0.055804491235223054,3
ALFA ROMEO,147 GTA,937,GTI,GB,generation,VEH0124,2019,193,0.06986016158886314,3
ALFA ROMEO,147 GTA,937,GTI,GB,generation,VEH0124,2020,168,0.09885700662300916,3
ALFA ROMEO,147 GTA,937,GTI,GB,generation,VEH0124,2021,176,0.06516400666123327,3
ALFA ROMEO,147 GTA,937,GTI,GB,generation,VEH0124,2022,161,0.06042860797347416,3
ALFA ROMEO,147 GTA,937,GTI,GB,generation,VEH0124,2023,147,0.04451046420817425,4
ALFA ROMEO,147 GTA,937,GTI,GB,generation,VEH0124,2024,135,0.08840307219990724,4
ALFA ROMEO,147 GTA,937,GTI,GB,generation,VEH0124,2025,149,0.02581935301300131,4
ALFA ROMEO,147 GTA,937,GTI,NL,generation,RDW,2026,4,,4
ALFA ROMEO,GTV,916,COUPE,GB,generation,VEH0124,2014,1932,,2
ALFA ROMEO,GTV,916,COUPE,GB,generation,VEH0124,2015,1700,,3
ALFA ROMEO,GTV,916,COUPE,GB,generation,VEH0124,2016,1501,,3
ALFA ROMEO,GTV,916,COUPE,GB,generation,VEH0124,2017,1291,0.13437954130860685,3
ALFA ROMEO,GTV,916,COUPE,GB,generation,VEH0124,2018,1140,0.1331999962185885,3
ALFA ROMEO,GTV,916,COUPE,GB,generation,VEH0124,2019,1024,0.12747167534466955,3
ALFA ROMEO,GTV,916,COUPE,GB,generation,VEH0124,2020,918,0.11365833340871727,4
ALFA ROMEO,GTV,916,COUPE,GB,generation,VEH0124,2021,865,0.09201801148555422,4
ALFA ROMEO,GTV,916,COUPE,GB,generation,VEH0124,2022,757,0.1007028507206682,4
ALFA ROMEO,GTV,916,COUPE,GB,generation,VEH0124,2023,697,0.09180399328665552,4
ALFA ROMEO,GTV,916,COUPE,GB,generation,VEH0124,2024,650,0.09525238134739873,4
ALFA ROMEO,GTV,916,COUPE,GB,generation,VEH0124,2025,618,0.0676249319932527,5
ALFA ROMEO,GTV,916,COUPE,NL,generation,RDW,2026,275,,5
ALFA ROMEO,SPIDER,916,ROADSTER,GB,generation,VEH0124,2014,1647,,2
ALFA ROMEO,SPIDER,916,ROADSTER,GB,generation,VEH0124,2015,1575,,3
ALFA ROMEO,SPIDER,916,ROADSTER,GB,generation,VEH0124,2016,1414,,3
ALFA ROMEO,SPIDER,916,ROADSTER,GB,generation,VEH0124,2017,1310,0.0763094379941478,3
ALFA ROMEO,SPIDER,916,ROADSTER,GB,generation,VEH0124,2018,1195,0.09203636229804098,3
ALFA ROMEO,SPIDER,916,ROADSTER,GB,generation,VEH0124,2019,1079,0.09012929373279437,3
ALFA ROMEO,SPIDER,916,ROADSTER,GB,generation,VEH0124,2020,950,0.10710681053353681,4
ALFA ROMEO,SPIDER,916,ROADSTER,GB,generation,VEH0124,2021,909,0.09118545672937728,4
ALFA ROMEO,SPIDER,916,ROADSTER,GB,generation,VEH0124,2022,815,0.09353395067242391,4
ALFA ROMEO,SPIDER,916,ROADSTER,GB,generation,VEH0124,2023,749,0.07924100035912247,4
ALFA ROMEO,SPIDER,916,ROADSTER,GB,generation,VEH0124,2024,667,0.10318501608728514,4
ALFA ROMEO,SPIDER,916,ROADSTER,GB,generation,VEH0124,2025,633,0.08423923036556236,5
ALFA ROMEO,SPIDER,916,ROADSTER,NL,generation,RDW,2026,717,,5
ALFA ROMEO,GT,937,COUPE,GB,generation,VEH0124,2014,6451,,1
ALFA ROMEO,GT,937,COUPE,GB,generation,VEH0124,2015,6062,,1
ALFA ROMEO,GT,937,COUPE,GB,generation,VEH0124,2016,5648,,2
ALFA ROMEO,GT,937,COUPE,GB,generation,VEH0124,2017,5060,0.08095622475024378,2
ALFA ROMEO,GT,937,COUPE,GB,generation,VEH0124,2018,4389,0.10764612264317168,2
ALFA ROMEO,GT,937,COUPE,GB,generation,VEH0124,2019,3684,0.14243412726596047,2
ALFA ROMEO,GT,937,COUPE,GB,generation,VEH0124,2020,3136,0.15947279360373715,2
ALFA ROMEO,GT,937,COUPE,GB,generation,VEH0124,2021,2574,0.17788010051072037,3
ALFA ROMEO,GT,937,COUPE,GB,generation,VEH0124,2022,2184,0.17428035350346693,3
ALFA ROMEO,GT,937,COUPE,GB,generation,VEH0124,2023,1828,0.17990854315206808,3
ALFA ROMEO,GT,937,COUPE,GB,generation,VEH0124,2024,1398,0.20347282178743895,3
ALFA ROMEO,GT,937,COUPE,GB,generation,VEH0124,2025,1185,0.20380509443185493,3
ALFA ROMEO,GT,937,COUPE,NL,generation,RDW,2026,1982,,4
ALFA ROMEO,BRERA,939,COUPE,GB,generation,VEH0124,2014,2847,,1
