anomaly,country,series,make,model_gen,generation,prev_year,year,prev_stock,stock,change
cohort_rise,GB,VEH0120,MAZDA,RX-8,SE3P,2002,2003,1,1820,1819.0
cohort_rise,GB,VEH0120,BMW,Z3,E36_7,1996,1997,5,4372,873.4
cohort_rise,GB,VEH0120,CITROEN,SAXO VTS,S0,1996,1997,17,5626,329.94117647058823
cohort_rise,GB,VEH0120,ASTON MARTIN,DB7,DB7,1994,1995,1,172,171.0
cohort_rise,GB,VEH0120,BMW,Z3 M,E36_7,1997,1998,3,488,161.66666666666666
cohort_rise,GB,VEH0120,TVR,SAGARIS,SAGARIS,2004,2005,1,148,147.0
cohort_rise,GB,VEH0124,AUDI,RS4,B9,2017,2018,4,578,143.5
cohort_rise,GB,VEH0124,FORD,PUMA,MK2,2019,2020,200,25930,128.65
cohort_rise,GB,VEH0120,VOLKSWAGEN,LUPO GTI,6X,2000,2001,3,359,118.66666666666667
cohort_rise,GB,VEH0120,ALFA ROMEO,156,932,1997,1998,43,4779,110.13953488372093
cohort_rise,GB,VEH0120,VOLKSWAGEN,PHAETON,3D,2002,2003,1,92,91.0
cohort_rise,GB,VEH0120,RENAULT,SPIDER,SPIDER,1996,1997,1,55,54.0
cohort_rise,GB,VEH0120,MITSUBISHI,FTO,DE,2001,2002,6,227,36.833333333333336
cohort_rise,GB,VEH0120,PEUGEOT,306 GTI-6,MK2,1996,1997,97,1836,17.927835051546392
cohort_rise,GB,VEH0124,BMW,M5,F90,2017,2018,33,540,15.363636363636363
cohort_rise,GB,VEH0120,FIAT,BARCHETTA,183,1995,1996,9,119,12.222222222222221
cohort_rise,GB,VEH0120,ALFA ROMEO,GT,937,2003,2004,106,1166,10.0
cohort_rise,GB,VEH0120,MG,MGF,MGF,1995,1996,643,6442,9.018662519440124
cohort_rise,GB,VEH0120,OPEL,VX220,VX220,2000,2001,38,378,8.947368421052632
cohort_rise,GB,VEH0120,BMW,135I,E82,2007,2008,51,506,8.92156862745098
cohort_rise,GB,VEH0120,VOLVO,850 R,854,1994,1995,45,355,6.888888888888889
cohort_rise,GB,VEH0124,HONDA,NSX,NC1,2016,2017,11,81,6.363636363636363
cohort_rise,GB,VEH0124,VOLKSWAGEN,POLO GTI,AW,2018,2019,638,4124,5.463949843260188
cohort_rise,GB,VEH0124,BMW,8 SERIES,G15,2018,2019,243,1457,4.995884773662551
