make,model_gen,generation,segment,country,level,series,latest_year,stock,rarity_tier,cumulative_sales,survival,history_years,attrition,relative_attrition,n_peers,inflection_year,inflection_age,sorn_ratio
LEXUS,SC430,Z40,ROADSTER,GB,generation,VEH0124,2025,1372,>=500,2275,0.6030769230769231,9,0.04235928226693054,-0.03091380115328602,23,2020,5,0.29677088672475654
LEXUS,SC430,Z40,ROADSTER,NL,generation,RDW,2026,308,<500,,1.0,0,,,0,,,
LOTUS,ELISE,S1,SPORTIVE,GB,generation,VEH0124,2025,1191,>=500,1026,0.5778748180494906,9,0.049092244710361804,-0.020421244815977763,33,2017,8,0.6434131736526946
LOTUS,ELISE,S1,SPORTIVE,NL,generation,RDW,2026,243,<500,,1.0,0,,,0,,,
LOTUS,ELISE,S2,SPORTIVE,GB,generation,VEH0124,2025,1579,>=500,6458,0.24450294208733353,9,0.04897717873856916,-0.01565119723306943,34,2021,4,0.4960102138525375
LOTUS,ELISE,S2,SPORTIVE,NL,generation,RDW,2026,294,<500,,1.0,0,,,0,,,
LOTUS,ESPRIT,X180_S4,SUPERCAR,GB,generation,VEH0124,2025,358,<500,77,0.6691588785046729,9,0.031080452593923242,,1,,,0.6942783945345858
LOTUS,ESPRIT,X180_S4,SUPERCAR,NL,generation,RDW,2026,36,<100,,1.0,0,,,0,,,
LOTUS,EVORA,122,SPORTIVE,GB,generation,VEH0124,2025,599,>=500,1178,0.5084889643463497,9,0.03583070074175168,-0.009669755903772191,31,2025,0,0.33885209713024284
LOTUS,EVORA,122,SPORTIVE,NL,generation,RDW,2026,83,<100,,1.0,0,,,0,,,
LOTUS,EXIGE,S1,SPORTIVE,GB,generation,VEH0124,2025,36,<100,175,0.2057142857142857,9,0.12258874210656405,0.05307525258022448,33,,,0.7647058823529411
LOTUS,EXIGE,S1,SPORTIVE,NL,generation,RDW,2026,5,<20,,1.0,0,,,0,,,
LOTUS,EXIGE,S2,SPORTIVE,GB,generation,VEH0124,2025,350,<500,1418,0.2468265162200282,9,0.02913675397327209,-0.0354916219983665,34,2023,2,0.5084269662921348
LOTUS,EXIGE,S2,SPORTIVE,NL,generation,RDW,2026,63,<100,,1.0,0,,,0,,,
MASERATI,3200 GT,338,COUPE,GB,generation,VEH0124,2025,161,<500,386,0.3870192307692308,9,0.08855044233871913,-0.015117483250829386,26,2019,6,0.7029520295202952
MASERATI,3200 GT,338,COUPE,NL,generation,RDW,2026,165,<500,,1.0,0,,,0,,,
MASERATI,4200,M138,COUPE,GB,generation,VEH0124,2025,508,>=500,1500,0.33866666666666667,9,0.09074017442281967,-0.03314035773872813,28,2019,6,0.573109243697479
MASERATI,4200,M138,COUPE,NL,generation,RDW,2026,271,<500,,1.0,0,,,0,,,
MASERATI,GHIBLI,II,COUPE,GB,generation,VEH0124,2025,13,<20,,0.40625,9,0.17559182187513736,0.08772700420539684,19,,,0.821917808219178
MASERATI,GHIBLI,II,COUPE,NL,generation,RDW,2026,45,<100,,1.0,0,,,0,,,
MASERATI,GRANTURISMO,M145,COUPE,GB,generation,VEH0124,2025,2067,>=500,3114,0.6637764932562621,9,0.024838028355131426,-0.010360292478741682,16,2023,2,0.24644549763033174
MASERATI,GRANTURISMO,M145,COUPE,NL,generation,RDW,2026,475,<500,,1.0,0,,,0,,,
MASERATI,QUATTROPORTE,M139,PREMIUM,GB,generation,VEH0124,2025,461,<500,1140,0.4043859649122807,9,0.10249482965612199,-0.009160169202456811,9,2021,4,0.47732426303854875
MASERATI,QUATTROPORTE,M139,PREMIUM,NL,generation,RDW,2026,611,>=500,,1.0,0,,,0,,,
MAZDA,MX-3,EC,COUPE,GB,generation,VEH0124,2025,119,<500,,0.11911911911911911,9,0.16288648753059698,0.07502166986085645,19,,,0.7901234567901234
MAZDA,MX-3,EC,COUPE,NL,generation,RDW,2026,217,<500,,1.0,0,,,0,,,
MAZDA,MX-5,NA,ROADSTER,GB,generation,VEH0124,2025,5599,>=500,,0.3954375308990748,9,0.07252111916916625,0.007726466627155357,5,,,0.6949771191980824
MAZDA,MX-5,NA,ROADSTER,NL,generation,RDW,2026,3223,>=500,,1.0,0,,,0,,,
MAZDA,MX-5,NB,ROADSTER,GB,generation,VEH0124,2025,12869,>=500,36665,0.32826569395199345,9,0.12555327498658092,0.05228019156636436,23,,,0.5576903247980752
MAZDA,MX-5,NB,ROADSTER,NL,generation,RDW,2026,3944,>=500,,1.0,0,,,0,,,
MAZDA,MX-5,NC,ROADSTER,GB,generation,VEH0124,2025,37068,>=500,56006,0.6618576581080599,9,0.03249013611429758,-0.0354599733829692,21,2020,5,0.1617557269170756
MAZDA,MX-5,NC,ROADSTER,NL,generation,RDW,2026,4154,>=500,,1.0,0,,,0,,,
MAZDA,MX-6,GE,COUPE,GB,generation,VEH0124,2025,86,<100,,0.20722891566265061,9,0.12200904275595874,0.03414422508621821,19,,,0.7528735632183908
MAZDA,MX-6,GE,COUPE,NL,generation,RDW,2026,58,<100,,1.0,0,,,0,,,
MAZDA,RX-7,FD,SPORTIVE,GB,generation,VEH0124,2025,310,<500,138,0.6431535269709544,9,0.01475410990671607,-0.054759379619623495,33,2023,2,0.7663903541823662
MAZDA,RX-7,FD,SPORTIVE,NL,generation,RDW,2026,98,<100,,1.0,0,,,0,,,
MAZDA,RX-8,SE3P,COUPE,GB,generation,VEH0124,2025,1923,>=500,25413,0.0756699327116043,9,0.1506224037373832,0.0634530500636405,25,,,0.7517428350116189
MAZDA,RX-8,SE3P,COUPE,NL,generation,RDW,2026,510,>=500,,1.0,0,,,0,,,
MERCEDES-BENZ,190,W201,PREMIUM,GB,generation,VEH0124,2025,2058,>=500,,0.3675,9,0.07994270507373492,-0.00331980938163752,3,2025,0,0.7029445727482679
MERCEDES-BENZ,190,W201,PREMIUM,NL,generation,RDW,2026,5126,>=500,,1.0,0,,,0,,,
MERCEDES-BENZ,190E 2.3-16,W201,SPORTIVE,GB,generation,VEH0124,2025,18,<20,,0.36,9,0.1349755702410149,0.09704454551462574,8,,,0.9213973799126638
MERCEDES-BENZ,190E 2.3-16,W201,SPORTIVE,NL,generation,RDW,2026,187,<500,,1.0,0,,,0,,,
MERCEDES-BENZ,190E 2.5-16,W201,SPORTIVE,GB,generation,VEH0124,2025,42,<100,,0.42424242424242425,9,0.06472248730745774,0.02679146258106859,8,,,0.8757396449704142
MERCEDES-BENZ,190E 2.5-16,W201,SPORTIVE,NL,generation,RDW,2026,48,<100,,1.0,0,,,0,,,
MERCEDES-BENZ,C43 AMG,W202,SPORTIVE,GB,generation,VEH0124,2025,145,<500,,0.4517133956386293,9,0.04903465541339441,-0.020478834112945155,33,2025,0,0.6658986175115207
MERCEDES-BENZ,C43 AMG,W202,SPORTIVE,NL,generation,RDW,2026,82,<100,,1.0,0,,,0,,,
MERCEDES-BENZ,C55 AMG,W203,SPORTIVE,GB,generation,VEH0124,2025,70,<100,146,0.4794520547945205,9,0.12219610685368017,0.04821659449026529,36,,,0.4214876033057851
MERCEDES-BENZ,C55 AMG,W203,SPORTIVE,NL,generation,RDW,2026,82,<100,,1.0,0,,,0,,,
MERCEDES-BENZ,C63 AMG,W204,SPORTIVE,GB,generation,VEH0124,2025,3206,>=500,5283,0.606852167329169,9,0.035371206520164795,-0.010129250125359077,31,2025,0,0.25580315691736305
MERCEDES-BENZ,C63 AMG,W204,SPORTIVE,NL,generation,RDW,2026,317,<500,,1.0,0,,,0,,,
MERCEDES-BENZ,CL,C140,COUPE,GB,generation,VEH0124,2025,70,<100,,0.30973451327433627,9,0.11555706426054539,0.027692246590804867,19,,,0.6818181818181818
MERCEDES-BENZ,CL,C140,COUPE,NL,generation,RDW,2026,36,<100,,1.0,0,,,0,,,
MERCEDES-BENZ,CL,C215,COUPE,GB,generation,VEH0124,2025,885,>=500,3052,0.2899737876802097,9,0.127849323070053,0.0039687909085052014,28,,,0.5883720930232558
MERCEDES-BENZ,CL,C215,COUPE,NL,generation,RDW,2026,377,<500,,1.0,0,,,0,,,
MERCEDES-BENZ,CL,C216,COUPE,GB,generation,VEH0124,2025,1130,>=500,2370,0.4767932489451477,9,0.06801564821560534,-0.019153705458137354,25,2025,0,0.2648015614834092
MERCEDES-BENZ,CL,C216,COUPE,NL,generation,RDW,2026,268,<500,,1.0,0,,,0,,,
MERCEDES-BENZ,CLK,C208,COUPE,GB,generation,VEH0124,2025,2768,>=500,23456,0.11800818553888132,9,0.20193574104546055,0.09826781545591204,26,,,0.6461715454429247
MERCEDES-BENZ,CLK,C208,COUPE,NL,generation,RDW,2026,2356,>=500,,1.0,0,,,0,,,
MERCEDES-BENZ,CLK,C209,COUPE,GB,generation,VEH0124,2025,16983,>=500,51904,0.32720021578298397,9,0.12241567737350799,0.0352463236997653,25,,,0.2796793485176231
MERCEDES-BENZ,CLK,C209,COUPE,NL,generation,RDW,2026,2489,>=500,,1.0,0,,,0,,,
MERCEDES-BENZ,E55 AMG,W210,SPORTIVE,GB,generation,VEH0124,2025,90,<100,77,0.33088235294117646,9,0.17027568519784228,0.10076219567150271,33,,,0.6949152542372882
MERCEDES-BENZ,E55 AMG,W210,SPORTIVE,NL,generation,RDW,2026,99,<100,,1.0,0,,,0,,,
MERCEDES-BENZ,E55 AMG,W211,SPORTIVE,GB,generation,VEH0124,2025,250,<500,629,0.397456279809221,9,0.09145690579083765,0.01747739342742277,36,,,0.42660550458715596
MERCEDES-BENZ,E55 AMG,W211,SPORTIVE,NL,generation,RDW,2026,216,<500,,1.0,0,,,0,,,
MERCEDES-BENZ,E63 AMG,W212,SPORTIVE,GB,generation,VEH0124,2025,583,>=500,1174,0.49659284497444633,9,0.04434236613019863,-0.0011580905153252413,31,2024,1,0.23890339425587467
MERCEDES-BENZ,E63 AMG,W212,SPORTIVE,NL,generation,RDW,2026,128,<500,,1.0,0,,,0,,,
MERCEDES-BENZ,S-CLASS,W140,PREMIUM,GB,generation,VEH0124,2025,338,<500,,0.2244355909694555,9,0.13511651896274998,0.03275137080888059,6,,,0.7795172863666014
MERCEDES-BENZ,S-CLASS,W140,PREMIUM,NL,generation,RDW,2026,376,<500,,1.0,0,,,0,,,
MERCEDES-BENZ,S-CLASS,W220,PREMIUM,GB,generation,VEH0124,2025,1563,>=500,12759,0.1225017634610863,9,0.21087756462127502,0.06406905276154246,8,,,0.6525894643254057
MERCEDES-BENZ,S-CLASS,W220,PREMIUM,NL,generation,RDW,2026,1503,>=500,,1.0,0,,,0,,,
MERCEDES-BENZ,S-CLASS,W221,PREMIUM,GB,generation,VEH0124,2025,6209,>=500,18386,0.33770259980419887,9,0.10765170481751078,-0.0040032940410680146,9,2017,8,0.29944713979465193
MERCEDES-BENZ,S-CLASS,W221,PREMIUM,NL,generation,RDW,2026,2117,>=500,,1.0,0,,,0,,,
MERCEDES-BENZ,SL,R129,ROADSTER,GB,generation,VEH0124,2025,2675,>=500,524,0.5561330561330561,9,0.05930227872429164,-0.005492373817719248,5,2025,0,0.5432035519125683
MERCEDES-BENZ,SL,R129,ROADSTER,NL,generation,RDW,2026,808,>=500,,1.0,0,,,0,,,
MERCEDES-BENZ,SL,R230,ROADSTER,GB,generation,VEH0124,2025,6437,>=500,14366,0.44807183628010583,9,0.07229430613583014,0.0043441966385633635,21,,,0.38800152120174936
MERCEDES-BENZ,SL,R230,ROADSTER,NL,generation,RDW,2026,1854,>=500,,1.0,0,,,0,,,
MERCEDES-BENZ,SLK,R170,ROADSTER,GB,generation,VEH0124,2025,6725,>=500,15878,0.342117311899069,9,0.1469450572659629,0.07683689855385328,15,,,0.4956502174891255
MERCEDES-BENZ,SLK,R170,ROADSTER,NL,generation,RDW,2026,4424,>=500,,1.0,0,,,0,,,
MERCEDES-BENZ,SLK,R171,ROADSTER,GB,generation,VEH0124,2025,18206,>=500,32492,0.5603225409331528,9,0.051970234397013045,-0.015979875100253733,21,2017,8,0.2181904066646627
MERCEDES-BENZ,SLK,R171,ROADSTER,NL,generation,RDW,2026,3940,>=500,,1.0,0,,,0,,,
MERCEDES-BENZ,SLR MCLAREN,C199,SUPERCAR,GB,generation,VEH0124,2025,13,<20,85,0.15294117647058825,9,0.14362511780019527,0.09813552285841602,9,,,0.6829268292682927
MERCEDES-BENZ,SLR MCLAREN,C199,SUPERCAR,NL,generation,RDW,2026,35,<100,,1.0,0,,,0,,,
MERCEDES-BENZ,SLS AMG,C197,SUPERCAR,GB,generation,VEH0124,2025,205,<500,496,0.41330645161290325,9,0.046885896834010704,-0.0013408555159956925,11,2025,0,0.49507389162561577
MERCEDES-BENZ,SLS AMG,C197,SUPERCAR,NL,generation,RDW,2026,19,<20,,1.0,0,,,0,,,
MG,MGF,MGF,ROADSTER,GB,generation,VEH0124,2025,3067,>=500,8319,0.23793638479441429,9,0.13218217993094922,0.06207402121883959,15,,,0.756451997141269
MG,MGF,MGF,ROADSTER,NL,generation,RDW,2026,1472,>=500,,1.0,0,,,0,,,
MG,RV8,RV8,ROADSTER,GB,generation,VEH0124,2025,246,<500,,0.6988636363636364,9,0.0383689058882682,-0.026425746653742692,5,2017,8,0.6019417475728155
MG,RV8,RV8,ROADSTER,NL,generation,RDW,2026,48,<100,,1.0,0,,,0,,,
MG,TF,TF,ROADSTER,GB,generation,VEH0124,2025,5902,>=500,28672,0.20584542410714285,9,0.10269283079246809,0.03474272129520131,21,,,0.5891974664160924
MG,TF,TF,ROADSTER,NL,generation,RDW,2026,961,>=500,,1.0,0,,,0,,,
MINI,COOPER S,R53,GTI,GB,generation,VEH0124,2025,13254,>=500,39817,0.33287289348770627,9,0.12647222500466845,-0.00769028304973135,34,2019,6,0.44662018287336647
MINI,COOPER S,R53,GTI,NL,generation,RDW,2026,3418,>=500,,1.0,0,,,0,,,
MINI,COOPER S,R56,GTI,GB,generation,VEH0124,2025,26694,>=500,52227,0.5111149405479924,9,0.0642842641165039,-0.06262386840037129,43,2017,8,0.17672094744633604
MINI,COOPER S,R56,GTI,NL,generation,RDW,2026,6205,>=500,,1.0,0,,,0,,,
MITSUBISHI,3000GT,Z16A,COUPE,GB,generation,VEH0124,2025,116,<500,,0.380327868852459,9,0.05059616029501077,-0.03726865737472976,19,2025,0,0.7894736842105263
MITSUBISHI,3000GT,Z16A,COUPE,NL,generation,RDW,2026,87,<100,,1.0,0,,,0,,,
MITSUBISHI,ECLIPSE,1G_2G,COUPE,GB,generation,VEH0124,2025,13,<20,,0.40625,9,0.0895413948618962,0.0016765771921556788,19,,,0.796875
MITSUBISHI,ECLIPSE,1G_2G,COUPE,NL,generation,RDW,2026,218,<500,,1.0,0,,,0,,,
MITSUBISHI,FTO,DE,COUPE,GB,generation,VEH0124,2025,38,<100,,0.1589958158995816,9,0.09804213148905914,-0.00562579410048937,26,2022,3,0.8164251207729468
MITSUBISHI,FTO,DE,COUPE,NL,generation,RDW,2026,23,<100,,1.0,0,,,0,,,
MITSUBISHI,LANCER EVOLUTION,VII_IX,SPORTIVE,GB,generation,VEH0124,2025,543,>=500,4398,0.12346521145975443,9,0.07550347792276674,0.0015239655593518586,36,,,0.6576292559899117
MITSUBISHI,LANCER EVOLUTION,VII_IX,SPORTIVE,NL,generation,RDW,2026,108,<500,,1.0,0,,,0,,,
MITSUBISHI,LANCER EVOLUTION,V_VI,SPORTIVE,GB,generation,VEH0124,2025,221,<500,5,0.6155988857938719,9,0.06297421651065595,-0.006539273015683619,33,2025,0,0.7497168742921857
MITSUBISHI,LANCER EVOLUTION,V_VI,SPORTIVE,NL,generation,RDW,2026,35,<100,,1.0,0,,,0,,,
MITSUBISHI,LANCER EVOLUTION,X,SPORTIVE,GB,generation,VEH0124,2025,544,>=500,2050,0.2653658536585366,9,0.05833798941801899,0.012837532772495115,31,,,0.42311770943796395
MITSUBISHI,LANCER EVOLUTION,X,SPORTIVE,NL,generation,RDW,2026,60,<100,,1.0,0,,,0,,,
NISSAN,200SX,S13,COUPE,GB,generation,VEH0124,2025,170,<500,,0.4521276595744681,9,0.01727011353875013,-0.03111045914276296,7,2023,2,0.8520452567449956
NISSAN,200SX,S13,COUPE,NL,generation,RDW,2026,197,<500,,1.0,0,,,0,,,
NISSAN,200SX,S14,COUPE,GB,generation,VEH0124,2025,314,<500,,0.30935960591133005,9,0.09371440941176774,-0.009953516177780772,26,2025,0,0.8183921341816078
NISSAN,200SX,S14,COUPE,NL,generation,RDW,2026,103,<500,,1.0,0,,,0,,,
NISSAN,300ZX,Z32,SPORTIVE,GB,generation,VEH0124,2025,175,<500,,0.43316831683168316,9,0.05427205860462031,-0.008397973646478527,19,2025,0,0.8490077653149266
NISSAN,300ZX,Z32,SPORTIVE,NL,generation,RDW,2026,340,<500,,1.0,0,,,0,,,
NISSAN,350Z,Z33,SPORTIVE,GB,generation,VEH0124,2025,3242,>=500,8206,0.3950767730928589,9,0.09918796523555111,0.02520845287213623,36,,,0.4574058577405858
NISSAN,350Z,Z33,SPORTIVE,NL,generation,RDW,2026,830,>=500,,1.0,0,,,0,,,
NISSAN,370Z,Z34,SPORTIVE,GB,generation,VEH0124,2025,2044,>=500,2855,0.715936952714536,9,0.03507796257073815,-0.010422494074785724,31,2024,1,0.18272690923630547
NISSAN,370Z,Z34,SPORTIVE,NL,generation,RDW,2026,254,<500,,1.0,0,,,0,,,
NISSAN,GT-R,R35,SUPERCAR,GB,generation,VEH0124,2025,1796,>=500,3716,0.48331539289558667,9,0.041950401485522176,-0.00627635086448422,11,2025,0,0.35925793792365324
NISSAN,GT-R,R35,SUPERCAR,NL,generation,RDW,2026,208,<500,,1.0,0,,,0,,,
NISSAN,SKYLINE GT-R,R32,SPORTIVE,GB,generation,VEH0124,2025,146,<500,,0.5468164794007491,9,0.04281063319327533,-0.01985939905782351,19,2022,3,0.7827380952380952
NISSAN,SKYLINE GT-R,R32,SPORTIVE,NL,generation,RDW,2026,16,<20,,1.0,0,,,0,,,
NISSAN,SKYLINE GT-R,R33,SPORTIVE,GB,generation,VEH0124,2025,184,<500,,0.45544554455445546,9,0.056532513832322946,-0.01298097569401662,33,2025,0,0.7650063856960408
NISSAN,SKYLINE GT-R,R33,SPORTIVE,NL,generation,RDW,2026,22,<100,,1.0,0,,,0,,,
NISSAN,SKYLINE GT-R,R34,SPORTIVE,GB,generation,VEH0124,2025,103,<500,164,0.6280487804878049,9,-0.03767258920886983,-0.1071860787352094,33,2017,8,0.6934523809523809
NISSAN,SKYLINE GT-R,R34,SPORTIVE,NL,generation,RDW,2026,14,<20,,1.0,0,,,0,,,
NISSAN,SUNNY GTI-R,N14,GTI,GB,generation,VEH0124,2025,16,<20,,0.7272727272727273,9,-0.12506266254197515,-0.18831978185974171,15,2025,0,0.8181818181818182
NISSAN,SUNNY GTI-R,N14,GTI,NL,generation,RDW,2026,20,<100,,1.0,0,,,0,,,
OPEL,ASTRA OPC,G,GTI,GB,generation,VEH0124,2025,211,<500,1533,0.13763861709067188,9,0.10831597599405836,-0.025846532060341446,34,2023,2,0.7660753880266076
OPEL,ASTRA OPC,G,GTI,NL,generation,RDW,2026,2,<20,,1.0,0,,,0,,,
OPEL,ASTRA OPC,H,GTI,GB,generation,VEH0124,2025,2986,>=500,8273,0.36093315604980053,9,0.1073674700343041,-0.019540662482571095,43,2022,3,0.4261003267345762
OPEL,ASTRA OPC,H,GTI,NL,generation,RDW,2026,1,<20,,1.0,0,,,0,,,
OPEL,CALIBRA,A,COUPE,GB,generation,VEH0124,2025,301,<500,,0.24732949876746096,9,0.09048871015855124,0.002623892488810717,19,,,0.8603248259860788
OPEL,CALIBRA,A,COUPE,NL,generation,RDW,2026,665,>=500,,1.0,0,,,0,,,
OPEL,CARLTON GSI,A,SPORTIVE,GB,generation,VEH0124,2025,20,<100,,0.40816326530612246,9,0.11203086587758855,0.07409984115119941,8,,,0.9074074074074074
OPEL,CORSA GSI,B,GTI,GB,generation,VEH0124,2025,14,<20,,0.25925925925925924,9,-0.024922943487749222,-0.11230340635928697,24,2025,0,0.9508771929824561
OPEL,CORSA GSI,B,GTI,NL,generation,RDW,2026,88,<100,,1.0,0,,,0,,,
OPEL,CORSA GSI,C,GTI,GB,generation,VEH0124,2025,0,<20,3,0.0,6,,,0,,,1.0
OPEL,CORSA VXR,D,GTI,GB,generation,VEH0124,2025,3850,>=500,9081,0.42396211870939327,9,0.1021462910126349,-0.024761841504240295,43,2025,0,0.3084246452308245
OPEL,CORSA VXR,D,GTI,NL,generation,RDW,2026,31,<100,,1.0,0,,,0,,,
OPEL,LOTUS CARLTON,A,SPORTIVE,GB,generation,VEH0124,2025,51,<100,,0.8095238095238095,9,-0.05693720184722972,-0.11960723409832855,19,2025,0,0.7197802197802198
OPEL,LOTUS CARLTON,A,SPORTIVE,NL,generation,RDW,2026,14,<20,,1.0,0,,,0,,,
OPEL,MONARO,V2,SPORTIVE,GB,generation,VEH0124,2025,605,>=500,1307,0.4628921193573068,9,0.05095467391875131,-0.01367370205288728,34,2025,0,0.48598130841121495
OPEL,VX220,VX220,ROADSTER,GB,generation,VEH0124,2025,439,<500,1941,0.226172076249356,9,0.06270259959159769,-0.010570483828618873,23,2025,0,0.6957726957726957
OPEL,VX220,VX220,ROADSTER,NL,generation,RDW,2026,216,<500,,1.0,0,,,0,,,
PEUGEOT,106 GTI,S2,GTI,GB,generation,VEH0124,2025,147,<500,581,0.16857798165137614,9,0.08201714005637477,-0.0053633228151629825,24,2021,4,0.8976323119777159
PEUGEOT,106 RALLYE,S1,GTI,GB,generation,VEH0124,2025,77,<100,,0.36492890995260663,9,0.059402749247807383,-0.00385437006995918,15,2022,3,0.8955223880597015
PEUGEOT,106 RALLYE,S1,GTI,NL,generation,RDW,2026,189,<500,,1.0,0,,,0,,,
PEUGEOT,106 RALLYE,S2,GTI,GB,generation,VEH0124,2025,43,<100,16,0.4387755102040816,9,0.015138830120343186,-0.07224163275119456,24,2021,4,0.8634920634920635
PEUGEOT,106 RALLYE,S2,GTI,NL,generation,RDW,2026,43,<100,,1.0,0,,,0,,,
PEUGEOT,205 GTI,MK1,GTI,GB,generation,VEH0124,2025,936,>=500,,0.5578069129916567,9,0.04178101289818454,0.0,6,,,0.8728606356968215
PEUGEOT,205 GTI,MK1,GTI,NL,generation,RDW,2026,1053,>=500,,1.0,0,,,0,,,
PEUGEOT,206 GTI,MK1,GTI,GB,generation,VEH0124,2025,648,>=500,12203,0.05310169630418749,9,0.19431926400999258,0.06015675595559278,34,,,0.7723120168657766
PEUGEOT,206 GTI,MK1,GTI,NL,generation,RDW,2026,2,<20,,1.0,0,,,0,,,
PEUGEOT,208 GTI,MK1,GTI,GB,generation,VEH0124,2025,4953,>=500,6025,0.8220746887966806,9,0.031434359490393485,-0.01717607442726323,30,2025,0,0.0672316384180791
PEUGEOT,306 GTI-6,MK2,GTI,GB,generation,VEH0124,2025,235,<500,58,0.23107177974434612,9,0.10487948916403272,0.017499026292494974,24,,,0.8273328434974284
PEUGEOT,306 GTI-6,MK2,GTI,NL,generation,RDW,2026,22,<100,,1.0,0,,,0,,,
PEUGEOT,306 S16,MK1,GTI,GB,generation,VEH0124,2025,7,<20,,0.30434782608695654,9,-0.05095320270041944,-0.11421032201818601,15,2024,1,0.9333333333333333
PEUGEOT,306 S16,MK1,GTI,NL,generation,RDW,2026,15,<20,,1.0,0,,,0,,,
PEUGEOT,309 GTI,MK1,GTI,GB,generation,VEH0124,2025,75,<100,,0.9146341463414634,9,-0.12223433374924475,-0.16401534664742928,6,2021,4,0.8520710059171598
PEUGEOT,309 GTI,MK1,GTI,NL,generation,RDW,2026,73,<100,,1.0,0,,,0,,,
PEUGEOT,406 COUPE,MK1,COUPE,GB,generation,VEH0124,2025,304,<500,3064,0.09921671018276762,9,0.13805526291310255,0.034387337323554035,26,,,0.7630553390491036
PEUGEOT,406 COUPE,MK1,COUPE,NL,generation,RDW,2026,1,<20,,1.0,0,,,0,,,
PEUGEOT,RCZ,MK1,COUPE,GB,generation,VEH0124,2025,9670,>=500,12777,0.7568286765281365,9,0.0488337063118886,0.013635385478015495,16,,,0.11047741698095852
PEUGEOT,RCZ,MK1,COUPE,NL,generation,RDW,2026,1287,>=500,,1.0,0,,,0,,,
PORSCHE,911,964,SPORTIVE,GB,generation,VEH0124,2025,1754,>=500,,0.6935547647291419,9,0.033245331879577136,-0.0294247003715217,19,2017,8,0.5656265477959386
PORSCHE,911,964,SPORTIVE,NL,generation,RDW,2026,1878,>=500,,1.0,0,,,0,,,
PORSCHE,911,991,SPORTIVE,GB,generation,VEH0124,2025,11185,>=500,16644,0.6720139389569815,9,0.01105289691188765,-0.0157939402641067,17,2023,2,0.14767964642231196
PORSCHE,911,991,SPORTIVE,NL,generation,RDW,2026,4398,>=500,,1.0,0,,,0,,,
PORSCHE,911,993,SPORTIVE,GB,generation,VEH0124,2025,2364,>=500,,0.6793103448275862,9,0.03676657542249616,-0.03274691410384341,33,2017,8,0.4575493345571363
PORSCHE,911,993,SPORTIVE,NL,generation,RDW,2026,1278,>=500,,1.0,0,,,0,,,
PORSCHE,911,996,SPORTIVE,GB,generation,VEH0124,2025,7800,>=500,12295,0.6344042293615291,9,0.03826309786256712,-0.03571641450084776,36,2017,8,0.3797216699801193
PORSCHE,911,996,SPORTIVE,NL,generation,RDW,2026,2624,>=500,,1.0,0,,,0,,,
PORSCHE,911,997,SPORTIVE,GB,generation,VEH0124,2025,12080,>=500,21174,0.570511004061585,9,0.03208419548761122,-0.03254418048402737,34,2017,8,0.2956678910850679
PORSCHE,911,997,SPORTIVE,NL,generation,RDW,2026,4021,>=500,,1.0,0,,,0,,,
PORSCHE,928,928,COUPE,GB,generation,VEH0124,2025,701,>=500,,0.832541567695962,9,-0.016581194686028426,-0.06496176736754151,7,2017,8,0.6677725118483412
PORSCHE,928,928,COUPE,NL,generation,RDW,2026,848,>=500,,1.0,0,,,0,,,
PORSCHE,944,944,COUPE,GB,generation,VEH0124,2025,1725,>=500,,0.6511891279728199,9,0.0034518486027532084,-0.044928724078759884,7,2023,2,0.7209640892914915
PORSCHE,944,944,COUPE,NL,generation,RDW,2026,1441,>=500,,1.0,0,,,0,,,
PORSCHE,968,968,COUPE,GB,generation,VEH0124,2025,301,<500,,0.5700757575757576,9,0.052220452947766643,-0.03564436472197388,19,2017,8,0.6420927467300832
PORSCHE,968,968,COUPE,NL,generation,RDW,2026,151,<500,,1.0,0,,,0,,,
PORSCHE,BOXSTER,981,ROADSTER,GB,generation,VEH0124,2025,4232,>=500,5304,0.7978883861236803,9,0.013883546044287867,-0.01760246613059612,14,2024,1,0.12471561530506722
PORSCHE,BOXSTER,981,ROADSTER,NL,generation,RDW,2026,653,>=500,,1.0,0,,,0,,,
PORSCHE,BOXSTER,986,ROADSTER,GB,generation,VEH0124,2025,9144,>=500,13549,0.5818644607063316,9,0.05549331316997707,-0.014614845542132555,15,2017,8,0.44114411441144114
PORSCHE,BOXSTER,986,ROADSTER,NL,generation,RDW,2026,1336,>=500,,1.0,0,,,0,,,
PORSCHE,BOXSTER,987,ROADSTER,GB,generation,VEH0124,2025,8996,>=500,14045,0.6405126379494482,9,0.028962177869329923,-0.03898793162793686,21,2021,4,0.2576332728172966
PORSCHE,BOXSTER,987,ROADSTER,NL,generation,RDW,2026,922,>=500,,1.0,0,,,0,,,
PORSCHE,CARRERA GT,980,SUPERCAR,GB,generation,VEH0124,2025,31,<100,63,0.49206349206349204,9,0.05906657313505692,0.01326693821813616,6,,,0.6477272727272727
PORSCHE,CARRERA GT,980,SUPERCAR,NL,generation,RDW,2026,17,<20,,1.0,0,,,0,,,
PORSCHE,CAYMAN,981,COUPE,GB,generation,VEH0124,2025,3836,>=500,5300,0.7237735849056603,9,0.013774514913851245,-0.02142380592002186,16,2023,2,0.1565523306948109
PORSCHE,CAYMAN,981,COUPE,NL,generation,RDW,2026,302,<500,,1.0,0,,,0,,,
