make,model_gen,generation,segment,country,level,series,latest_year,stock,rarity_tier,cumulative_sales,survival,history_years,attrition,relative_attrition,n_peers,inflection_year,inflection_age,sorn_ratio
ASTON MARTIN,DB9,DB9,COUPE,GB,generation,VEH0124,2025,3124,>=500,5308,0.5885455915599096,9,0.0486399740429204,-0.03852937963082229,25,2025,0,0.3569370111156855
ASTON MARTIN,DB9,DB9,COUPE,NL,generation,RDW,2026,341,<500,,1.0,0,,,0,,,
ASTON MARTIN,V8 VANTAGE,VH,SPORTIVE,GB,generation,VEH0124,2025,3756,>=500,6563,0.5722992533902179,9,0.0381875559008961,-0.007312900744627773,31,2025,0,0.3637133660850415
ASTON MARTIN,V8 VANTAGE,VH,SPORTIVE,NL,generation,RDW,2026,404,<500,,1.0,0,,,0,,,
ASTON MARTIN,VANQUISH,I,SUPERCAR,GB,generation,VEH0124,2025,111,<500,275,0.4036363636363636,9,0.036949908165542854,-0.008849726751377907,6,2025,0,0.5919117647058824
ASTON MARTIN,VANQUISH,I,SUPERCAR,NL,generation,RDW,2026,10,<20,,1.0,0,,,0,,,
AUDI,CABRIOLET,B4,ROADSTER,GB,generation,VEH0124,2025,554,>=500,,0.2474318892362662,9,0.13185940733034418,0.06706475478833329,5,,,0.7534490431686693
AUDI,CABRIOLET,B4,ROADSTER,NL,generation,RDW,2026,17,<20,,1.0,0,,,0,,,
AUDI,COUPE,B3,COUPE,GB,generation,VEH0124,2025,187,<500,,0.26676176890156916,9,0.1404717327818565,0.05260691511211599,19,,,0.8508771929824561
AUDI,COUPE,B3,COUPE,NL,generation,RDW,2026,24,<100,,1.0,0,,,0,,,
AUDI,R8,42,SUPERCAR,GB,generation,VEH0124,2025,1820,>=500,3685,0.49389416553595655,9,0.05116151376467267,0.005671918822893425,9,,,0.35300391041592605
AUDI,R8,42,SUPERCAR,NL,generation,RDW,2026,99,<100,,1.0,0,,,0,,,
AUDI,RS2,B4,SPORTIVE,GB,generation,VEH0124,2025,32,<100,,0.47058823529411764,9,0.020107978499862286,-0.04256205375123655,19,2025,0,0.744
AUDI,RS2,B4,SPORTIVE,NL,generation,RDW,2026,2,<20,,1.0,0,,,0,,,
AUDI,RS4,B5,SPORTIVE,GB,generation,VEH0124,2025,130,<500,324,0.37681159420289856,9,0.10666677412765786,0.037153284601318295,33,,,0.6467391304347826
AUDI,RS4,B5,SPORTIVE,NL,generation,RDW,2026,6,<20,,1.0,0,,,0,,,
AUDI,RS4,B7,SPORTIVE,GB,generation,VEH0124,2025,1525,>=500,3270,0.46636085626911317,9,0.06689022779399638,0.0022618518223577883,34,,,0.404296875
AUDI,RS4,B7,SPORTIVE,NL,generation,RDW,2026,10,<20,,1.0,0,,,0,,,
AUDI,RS6,C5,SPORTIVE,GB,generation,VEH0124,2025,278,<500,1038,0.2678227360308285,9,0.09344396320887695,0.01946445084546207,36,,,0.6106442577030813
AUDI,RS6,C5,SPORTIVE,NL,generation,RDW,2026,19,<20,,1.0,0,,,0,,,
AUDI,RS6,C6,SPORTIVE,GB,generation,VEH0124,2025,359,<500,705,0.5092198581560283,9,0.06553689635568609,0.0009085203840474981,34,,,0.35892857142857143
AUDI,RS6,C6,SPORTIVE,NL,generation,RDW,2026,9,<20,,1.0,0,,,0,,,
AUDI,S2,B3_B4,COUPE,GB,generation,VEH0124,2025,71,<100,,0.4152046783625731,9,0.03979758715139697,-0.04806723051834356,19,2024,1,0.8116710875331565
AUDI,S2,B3_B4,COUPE,NL,generation,RDW,2026,2,<20,,1.0,0,,,0,,,
AUDI,S3,8L,GTI,GB,generation,VEH0124,2025,886,>=500,3408,0.25997652582159625,9,0.11415412866393944,-0.020008379390460365,34,2022,3,0.6440337484933708
AUDI,S3,8L,GTI,NL,generation,RDW,2026,188,<500,,1.0,0,,,0,,,
AUDI,S4,B5,SPORTIVE,GB,generation,VEH0124,2025,288,<500,77,0.34657039711191334,9,0.10695691384086851,0.03744342431452895,33,,,0.6517533252720678
AUDI,S4,B5,SPORTIVE,NL,generation,RDW,2026,17,<20,,1.0,0,,,0,,,
AUDI,S8,D2,PREMIUM,GB,generation,VEH0124,2025,116,<500,364,0.31868131868131866,9,0.07424576987371945,-0.05714819868678242,7,2021,4,0.6750700280112045
AUDI,S8,D2,PREMIUM,NL,generation,RDW,2026,26,<100,,1.0,0,,,0,,,
AUDI,TT,8J,COUPE,GB,generation,VEH0124,2025,43546,>=500,59587,0.7307969859197476,9,0.03016471398041767,-0.05700463969332502,25,2017,8,0.08395565559458948
AUDI,TT,8J,COUPE,NL,generation,RDW,2026,2929,>=500,,1.0,0,,,0,,,
AUDI,TT,8N,COUPE,GB,generation,VEH0124,2025,16711,>=500,47148,0.35443709171120724,9,0.13538215375900128,0.011501621597453479,28,,,0.4619768190598841
AUDI,TT,8N,COUPE,NL,generation,RDW,2026,4953,>=500,,1.0,0,,,0,,,
BMW,135I,E82,SPORTIVE,GB,generation,VEH0124,2025,870,>=500,1329,0.654627539503386,9,0.03761829267420688,-0.02701008329743171,34,2020,5,0.23617208077260754
BMW,135I,E82,SPORTIVE,NL,generation,RDW,2026,95,<100,,1.0,0,,,0,,,
