rank,make,model_gen,generation,segment,score,weight_coverage,stock,rarity_tier,rarity,conservation,sorn_ratio,recent_inflection_point,relative_attrition,inflection_year,latest_year,components_available
236,NISSAN,350Z,Z33,SPORTIVE,0.2203514602903138,1.0,4072,>=500,0.22995197705143736,0.1935483870967742,0.4574058577405858,0.0,0.02520845287213623,,2026,rarity|conservation|sorn_ratio|recent_inflection_point
237,MG,TF,TF,ROADSTER,0.2197027121742378,1.0,6863,>=500,0.18159076365176033,0.1532258064516129,0.5891974664160924,0.0,0.03474272129520131,,2026,rarity|conservation|sorn_ratio|recent_inflection_point
238,MERCEDES-BENZ,SL,R230,ROADSTER,0.21768911004573172,1.0,8291,>=500,0.1640786156651463,0.33064516129032256,0.38800152120174936,0.0,0.0043441966385633635,,2026,rarity|conservation|sorn_ratio|recent_inflection_point
239,BMW,Z4,E85,ROADSTER,0.21753522149287646,1.0,12150,>=500,0.1286738551203104,0.41532258064516125,0.3433436351973876,0.0,-0.0005194943207596364,2020,2026,rarity|conservation|sorn_ratio|recent_inflection_point
240,TOYOTA,CELICA,T230,COUPE,0.20969060211813118,1.0,6485,>=500,0.18683931897396736,0.18951612903225806,0.4845890410958904,0.0,0.02564974529883561,,2026,rarity|conservation|sorn_ratio|recent_inflection_point
241,BMW,6 SERIES,E63,COUPE,0.20875688490407218,1.0,7222,>=500,0.17686709189714875,0.3185483870967742,0.3360815298293828,0.0,0.006242804682133368,,2026,rarity|conservation|sorn_ratio|recent_inflection_point
242,MERCEDES-BENZ,CLK,C208,COUPE,0.20629835353993958,1.0,5124,>=500,0.20866224681953863,0.016129032258064516,0.6461715454429247,0.0,0.09826781545591204,,2026,rarity|conservation|sorn_ratio|recent_inflection_point
243,VOLKSWAGEN,GOLF GTI,MK4,GTI,0.20335728748590468,1.0,5220,>=500,0.2069425842741044,0.03629032258064516,0.6092740117240343,0.0,0.08192699758725303,,2026,rarity|conservation|sorn_ratio|recent_inflection_point
244,ALFA ROMEO,GT,937,COUPE,0.1920956362585199,1.0,3167,>=500,0.25323804133216915,0.0,0.5173116089613035,0.0,0.11653092207357703,,2026,rarity|conservation|sorn_ratio|recent_inflection_point
245,AUDI,TT,8N,COUPE,0.18823528665828582,1.0,21664,>=500,0.0750956320954451,0.2782258064516129,0.4619768190598841,0.0,0.011501621597453479,,2026,rarity|conservation|sorn_ratio|recent_inflection_point
246,MAZDA,MX-5,NB,ROADSTER,0.17225105046270636,1.0,16813,>=500,0.09858088023924708,0.10483870967741934,0.5576903247980752,0.0,0.05228019156636436,,2026,rarity|conservation|sorn_ratio|recent_inflection_point
247,MERCEDES-BENZ,SLK,R170,ROADSTER,0.15703445795916313,1.0,11149,>=500,0.1366393408572791,0.04032258064516129,0.4956502174891255,0.0,0.07683689855385328,,2026,rarity|conservation|sorn_ratio|recent_inflection_point
248,PEUGEOT,RCZ,MK1,COUPE,0.13701478264002487,1.0,10957,>=500,0.138248689083763,0.2661290322580645,0.11047741698095852,0.0,0.013635385478015495,,2026,rarity|conservation|sorn_ratio|recent_inflection_point
249,MERCEDES-BENZ,CLK,C209,COUPE,0.12297669280161594,1.0,19472,>=500,0.08497838857519179,0.14919354838709678,0.2796793485176231,0.0,0.0352463236997653,,2026,rarity|conservation|sorn_ratio|recent_inflection_point
