make,model_gen,generation,country,horizon,year,stock_now,stock_projected,low,high,k_median,lambda_median,cohorts_fitted,cohorts_total
FORD,FOCUS RS,MK2,GB,5,2030,1582,1031,902,1139,1.3,14.28632904338501,3,3
FORD,FOCUS RS,MK2,GB,10,2035,1582,656,502,806,1.3,14.28632904338501,3,3
FORD,FOCUS ST,MK2,GB,5,2030,10619,6060,5136,6882,2.3,20.779365869359353,7,8
FORD,FOCUS ST,MK2,GB,10,2035,10619,3059,2202,4061,2.3,20.779365869359353,7,8
HONDA,CIVIC TYPE R,EP3,GB,5,2030,3384,1620,1356,1870,1.7500000000000002,15.585680825503706,4,7
HONDA,CIVIC TYPE R,EP3,GB,10,2035,3384,694,474,945,1.7500000000000002,15.585680825503706,4,7
HONDA,CIVIC TYPE R,FN2,GB,5,2030,7015,4087,3446,4629,2.55,22.96899644161824,5,5
HONDA,CIVIC TYPE R,FN2,GB,10,2035,7015,1992,1340,2668,2.55,22.96899644161824,5,5
HONDA,S2000,AP1_AP2,GB,5,2030,2753,1935,1636,2159,1.2,16.840987482023245,10,13
HONDA,S2000,AP1_AP2,GB,10,2035,2753,1353,984,1687,1.2,16.840987482023245,10,13
JAGUAR,S-TYPE R,X200,GB,5,2030,413,245,170,301,1.9500000000000002,20.27383930084363,6,7
JAGUAR,S-TYPE R,X200,GB,10,2035,413,139,80,214,1.9500000000000002,20.27383930084363,6,7
JAGUAR,XJ,X300_X308,GB,5,2030,2876,1336,1195,1472,1.25,10.191555098499133,9,12
JAGUAR,XJ,X300_X308,GB,10,2035,2876,604,483,736,1.25,10.191555098499133,9,12
JAGUAR,XJS,XJS,GB,5,2030,880,588,436,712,1.4000000000000001,25.26829561226216,6,31
JAGUAR,XJS,XJS,GB,10,2035,880,375,255,558,1.4000000000000001,25.26829561226216,6,31
JAGUAR,XK,X100,GB,5,2030,6158,3945,2929,4608,2.0,24.23020940495867,10,12
JAGUAR,XK,X100,GB,10,2035,6158,2379,1450,3368,2.0,24.23020940495867,10,12
JAGUAR,XK,X150,GB,5,2030,8670,6720,5429,7445,1.7500000000000002,27.24710632134647,8,9
JAGUAR,XK,X150,GB,10,2035,8670,4942,3308,6206,1.7500000000000002,27.24710632134647,8,9
LEXUS,LS400,XF10_XF20,GB,5,2030,539,292,239,338,0.95,8.987718108988018,6,14
LEXUS,LS400,XF10_XF20,GB,10,2035,539,160,109,214,0.95,8.987718108988018,6,14
LEXUS,SC430,Z40,GB,5,2030,1297,1043,906,1129,1.8,29.82427986074137,8,9
LEXUS,SC430,Z40,GB,10,2035,1297,823,622,972,1.8,29.82427986074137,8,9
LOTUS,ELISE,S2,GB,5,2030,853,670,564,735,0.9000000000000001,18.73723111395226,6,10
LOTUS,ELISE,S2,GB,10,2035,853,531,382,637,0.9000000000000001,18.73723111395226,6,10
LOTUS,EVORA,122,GB,5,2030,226,184,124,211,1.4500000000000002,26.480205210339886,3,14
LOTUS,EVORA,122,GB,10,2035,226,147,68,195,1.4500000000000002,26.480205210339886,3,14
MASERATI,4200,M138,GB,5,2030,366,234,188,270,1.8,21.270190847383397,4,18
MASERATI,4200,M138,GB,10,2035,366,143,93,193,1.8,21.270190847383397,4,18
MASERATI,GRANTURISMO,M145,GB,5,2030,1157,891,685,1002,1.6500000000000001,25.56128785271857,6,17
MASERATI,GRANTURISMO,M145,GB,10,2035,1157,662,388,853,1.6500000000000001,25.56128785271857,6,17
MASERATI,QUATTROPORTE,M139,GB,5,2030,141,64,19,100,2.55,19.159923793293892,3,9
MASERATI,QUATTROPORTE,M139,GB,10,2035,141,22,2,67,2.55,19.159923793293892,3,9
MAZDA,MX-5,NB,GB,5,2030,12431,5388,3953,6793,2.2,18.633467948029097,8,11
MAZDA,MX-5,NB,GB,10,2035,12431,1954,1093,3188,2.2,18.633467948029097,8,11
MAZDA,MX-5,NC,GB,5,2030,28619,22972,21499,24038,2.2,30.50604541605145,7,10
MAZDA,MX-5,NC,GB,10,2035,28619,17576,15112,19448,2.2,30.50604541605145,7,10
MAZDA,RX-8,SE3P,GB,5,2030,1204,545,358,717,1.1,9.134995268681987,4,9
MAZDA,RX-8,SE3P,GB,10,2035,1204,249,108,429,1.1,9.134995268681987,4,9
MERCEDES-BENZ,190,W201,GB,5,2030,495,301,284,316,0.95,8.773948463391207,3,37
MERCEDES-BENZ,190,W201,GB,10,2035,495,184,165,203,0.95,8.773948463391207,3,37
MERCEDES-BENZ,C63 AMG,W204,GB,5,2030,2628,2047,1682,2281,1.35,24.051800334777717,6,7
MERCEDES-BENZ,C63 AMG,W204,GB,10,2035,2628,1548,1031,1944,1.35,24.051800334777717,6,7
