country,total,mapped,unknown,coverage,table
DE,323825954,318914803,9313474,0.9848339796753907,fleet_stock
GB,2738138014,2710536654,28591154,0.989919660784491,fleet_stock
NL,9166650,9021907,16,0.984209825836047,fleet_stock
GB,48934340,48547224,543935,0.9920890728269759,fleet_new_reg
