make,model_gen,generation,segment,country,level,series,latest_year,stock,rarity_tier,cumulative_sales,survival,history_years,attrition,relative_attrition,n_peers,inflection_year,sorn_ratio
AUDI,RS6,C5,SPORTIVE,NL,generation,RDW,2026,19,<20,,1.0,0,,,0,,
AUDI,RS6,C6,SPORTIVE,GB,generation,VEH0124,2025,359,<500,705,0.5092198581560283,9,0.06553689635568609,0.0009085203840474981,34,,0.35892857142857143
AUDI,RS6,C6,SPORTIVE,NL,generation,RDW,2026,9,<20,,1.0,0,,,0,,
AUDI,S2,B3_B4,COUPE,NL,generation,RDW,2026,1,<20,,1.0,0,,,0,,
AUDI,S3,8L,GTI,GB,generation,VEH0124,2025,886,>=500,3408,0.25997652582159625,9,0.11415412866393944,-0.019991702105669404,27,2022,0.6440337484933708
AUDI,S3,8L,GTI,NL,generation,RDW,2026,188,<500,,1.0,0,,,0,,
AUDI,S4,B5,SPORTIVE,GB,generation,VEH0124,2025,288,<500,77,0.34657039711191334,9,0.10695691384086851,0.04410105147792695,30,,0.6517533252720678
AUDI,S4,B5,SPORTIVE,NL,generation,RDW,2026,17,<20,,1.0,0,,,0,,
AUDI,S8,D2,PREMIUM,GB,generation,VEH0124,2025,116,<500,364,0.31868131868131866,9,0.07424576987371945,-0.05928240597627921,6,2021,0.6750700280112045
AUDI,S8,D2,PREMIUM,NL,generation,RDW,2026,26,<100,,1.0,0,,,0,,
AUDI,TT,8J,COUPE,GB,generation,VEH0124,2025,43546,>=500,59587,0.7307969859197476,9,0.03016471398041767,-0.05700463969332502,25,2017,0.08395565559458948
AUDI,TT,8J,COUPE,NL,generation,RDW,2026,2929,>=500,,1.0,0,,,0,,
AUDI,TT,8N,COUPE,GB,generation,VEH0124,2025,16711,>=500,47148,0.35443709171120724,9,0.13538215375900128,0.016385794729822586,27,,0.4619768190598841
AUDI,TT,8N,COUPE,NL,generation,RDW,2026,4953,>=500,,1.0,0,,,0,,
BMW,135I,E82,SPORTIVE,GB,generation,VEH0124,2025,870,>=500,1329,0.654627539503386,9,0.03761829267420688,-0.02701008329743171,34,2020,0.23617208077260754
BMW,135I,E82,SPORTIVE,NL,generation,RDW,2026,95,<100,,1.0,0,,,0,,
BMW,1M,E82,SPORTIVE,GB,generation,VEH0124,2025,220,<500,432,0.5092592592592593,9,0.019121657380526534,-0.026378799264997338,31,2021,0.4416243654822335
BMW,1M,E82,SPORTIVE,NL,generation,RDW,2026,1,<20,,1.0,0,,,0,,
BMW,6 SERIES,E63,COUPE,GB,generation,VEH0124,2025,5798,>=500,13562,0.42751806518212654,9,0.09341215835587606,0.006242804682133368,25,,0.3360815298293828
BMW,6 SERIES,E63,COUPE,NL,generation,RDW,2026,1424,>=500,,1.0,0,,,0,,
BMW,8 SERIES,E31,COUPE,GB,generation,VEH0124,2025,410,<500,,0.44808743169398907,9,0.07728276232100362,-0.007245242874318769,16,2025,0.7244623655913979
BMW,8 SERIES,E31,COUPE,NL,generation,RDW,2026,362,<500,,1.0,0,,,0,,
BMW,M3,E36,SPORTIVE,GB,generation,VEH0124,2025,541,>=500,,0.3626005361930295,9,0.07867457736935114,0.021623017222968013,14,,0.7971503562054744
BMW,M3,E36,SPORTIVE,NL,generation,RDW,2026,370,<500,,1.0,0,,,0,,
BMW,M3,E46,SPORTIVE,GB,generation,VEH0124,2025,4138,>=500,14719,0.28113322915958966,9,0.06802053747461823,-0.004587945653285949,35,2025,0.5525519031141869
BMW,M3,E46,SPORTIVE,NL,generation,RDW,2026,725,>=500,,1.0,0,,,0,,
BMW,M3,E9X,SPORTIVE,GB,generation,VEH0124,2025,3639,>=500,8111,0.44864998150659596,9,0.06258400770128583,-0.002044368270352759,34,2025,0.37741659538066724
BMW,M3,E9X,SPORTIVE,NL,generation,RDW,2026,535,>=500,,1.0,0,,,0,,
BMW,M5,E34,SPORTIVE,GB,generation,VEH0124,2025,63,<100,,0.5,9,0.09997578255110821,0.042924222404725085,14,,0.8194842406876791
BMW,M5,E34,SPORTIVE,NL,generation,RDW,2026,103,<500,,1.0,0,,,0,,
BMW,M5,E39,SPORTIVE,GB,generation,VEH0124,2025,493,<500,1029,0.4153327716933446,9,0.08593562171721397,0.02307975935427241,30,,0.594238683127572
BMW,M5,E39,SPORTIVE,NL,generation,RDW,2026,228,<500,,1.0,0,,,0,,
