rank,make,model_gen,generation,segment,score,weight_coverage,stock,rarity,conservation,sorn_ratio,recent_inflection_point,relative_attrition,inflection_year,latest_year,components_available
1,PEUGEOT,306 S16,MK1,GTI,0.8831342412582008,1.0,22,0.7136329695692669,0.9867841409691631,0.9333333333333333,1.0,-0.11633481620690585,2024,2026,rarity|conservation|sorn_ratio|recent_inflection_point
2,NISSAN,SUNNY GTI-R,N14,GTI,0.8474391284531126,1.0,36,0.6680078994764259,1.0,0.8181818181818182,1.0,-0.19044427604846154,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
3,OPEL,LOTUS CARLTON,A,SPORTIVE,0.8041943474255757,1.0,65,0.6132673994661256,0.9823788546255507,0.7197802197802198,1.0,-0.11398876199361285,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
4,AUDI,RS2,B4,SPORTIVE,0.7904032890059534,1.0,34,0.6733032926916479,0.8237885462555067,0.744,1.0,-0.03694358164652084,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
5,HONDA,CIVIC TYPE R,EK9,GTI,0.7867536461670366,1.0,38,0.6629988871990343,0.7797356828193833,0.7988505747126436,1.0,-0.03273360221345159,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
6,TOYOTA,CELICA GT-FOUR,ST185_ST205,SPORTIVE,0.7600238421125594,1.0,22,0.7136329695692669,0.5682819383259913,0.8409090909090909,1.0,-0.012749720399050778,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
7,RENAULT,19 16V,MK1,GTI,0.7543135070379452,1.0,116,0.5596076315830558,0.7048458149779736,0.9111969111969112,1.0,-0.02439496828847089,2024,2026,rarity|conservation|sorn_ratio|recent_inflection_point
8,RENAULT,CLIO V6,MK2,SPORTIVE,0.7467493936792975,1.0,152,0.5345668111317976,0.8193832599118943,0.7740259740259741,1.0,-0.03651244059626161,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
9,FORD,FOCUS RS,MK1,GTI,0.7427662334543377,1.0,378,0.4501667148331587,0.9118942731277534,0.7861715749039693,1.0,-0.050678481273255326,2022,2026,rarity|conservation|sorn_ratio|recent_inflection_point
10,FORD,ESCORT RS COSWORTH,MK5,SPORTIVE,0.7380090712909011,1.0,306,0.4697432682353106,0.8370044052863437,0.8217391304347826,1.0,-0.0385926189363449,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
11,MITSUBISHI,3000GT,Z16A,COUPE,0.7349508179111148,1.0,203,0.5077624972015756,0.7973568281938327,0.7894736842105263,1.0,-0.03393184490031162,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
12,MAZDA,RX-7,FD,SPORTIVE,0.7341309174852904,1.0,408,0.4430912043962425,0.9030837004405288,0.7663903541823662,1.0,-0.04810175245622549,2023,2026,rarity|conservation|sorn_ratio|recent_inflection_point
13,NISSAN,200SX,S13,COUPE,0.7194536357344217,1.0,367,0.45290271435482615,0.762114537444934,0.8520452567449956,1.0,-0.03111045914276296,2023,2026,rarity|conservation|sorn_ratio|recent_inflection_point
14,ALFA ROMEO,155,167,PREMIUM,0.7174855055562201,1.0,423,0.43974628658321885,0.7400881057268723,0.8927613941018767,1.0,-0.027850885814172822,2023,2026,rarity|conservation|sorn_ratio|recent_inflection_point
15,OPEL,ASTRA OPC,G,GTI,0.7088881536045284,1.0,213,0.5033075928485835,0.7180616740088106,0.7660753880266076,1.0,-0.025829854775550484,2023,2026,rarity|conservation|sorn_ratio|recent_inflection_point
16,SAAB,9-3 VIGGEN,MK1,SPORTIVE,0.7013314945906102,1.0,91,0.5820952118700227,0.7004405286343613,0.6124401913875598,1.0,-0.02413445895410983,2022,2026,rarity|conservation|sorn_ratio|recent_inflection_point
17,NISSAN,SKYLINE GT-R,R32,SPORTIVE,0.6891570811274297,1.0,162,0.528663913053707,0.5903083700440529,0.7827380952380952,1.0,-0.014240926953107802,2024,2026,rarity|conservation|sorn_ratio|recent_inflection_point
18,MITSUBISHI,FTO,DE,COUPE,0.689018902106276,1.0,61,0.619151545563661,0.4361233480176212,0.8164251207729468,1.0,-0.0015665238373605422,2022,2026,rarity|conservation|sorn_ratio|recent_inflection_point
19,TOYOTA,SUPRA,A70,SPORTIVE,0.6725752314415998,1.0,399,0.44515770255576714,0.6035242290748899,0.829444891391794,1.0,-0.015297174006842947,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
20,PEUGEOT,106 RALLYE,S1,GTI,0.6703037605097937,1.0,266,0.48272167675031746,0.4889867841409692,0.8955223880597015,1.0,-0.005978864258679016,2022,2026,rarity|conservation|sorn_ratio|recent_inflection_point
21,FERRARI,575M,575M,SUPERCAR,0.6696184020202569,1.0,140,0.5421856906314324,0.6607929515418502,0.5732758620689655,1.0,-0.01990783319450468,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
22,LOTUS,EXIGE,S2,SPORTIVE,0.6601168525648393,1.0,413,0.4419627597552622,0.814977973568282,0.5084269662921348,1.0,-0.0354916219983665,2023,2026,rarity|conservation|sorn_ratio|recent_inflection_point
23,RENAULT,CLIO RS,MK2,GTI,0.6571449782918664,1.0,1668,0.31263772101949366,0.8634361233480177,0.6593137254901961,1.0,-0.042065929031132765,2021,2025,rarity|conservation|sorn_ratio|recent_inflection_point
24,NISSAN,SKYLINE GT-R,R33,SPORTIVE,0.6546918027765978,1.0,206,0.5064033898009747,0.49779735682819387,0.7650063856960408,1.0,-0.006323348530618618,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
25,MERCEDES-BENZ,C43 AMG,W202,SPORTIVE,0.6537490170612732,1.0,227,0.4974100646681681,0.5859030837004405,0.6658986175115207,1.0,-0.013821206949547152,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
26,FORD,FOCUS RS,MK2,GTI,0.6531768512768571,1.0,1607,0.31608929195073904,0.9515418502202644,0.5233006826951617,1.0,-0.0634822309953529,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
27,PORSCHE,944,944,COUPE,0.6519993680759537,1.0,3166,0.2532672989226906,0.8766519823788547,0.7209640892914915,1.0,-0.04492872407875988,2023,2026,rarity|conservation|sorn_ratio|recent_inflection_point
28,ASTON MARTIN,VANQUISH,I,SUPERCAR,0.6450352485715662,1.0,121,0.5556980152057706,0.5286343612334802,0.5919117647058824,1.0,-0.008849726751377907,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
29,VOLKSWAGEN,CORRADO,53I,COUPE,0.6396628919294012,1.0,1735,0.30898919858443147,0.682819383259912,0.804059133049361,1.0,-0.02286150030506804,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
30,NISSAN,200SX,S14,COUPE,0.6391982302660164,1.0,417,0.4410697970867305,0.4845814977973569,0.8183921341816078,1.0,-0.005894245914651944,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
31,NISSAN,300ZX,Z32,SPORTIVE,0.6296663965687925,1.0,515,0.42151440498197906,0.4493392070484582,0.8490077653149266,1.0,-0.002779501541762819,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
32,RENAULT,TWINGO RS,MK2,GTI,0.6233553263316534,1.0,708,0.39202788190857374,0.9647577092511014,0.22478070175438597,1.0,-0.07403251337402567,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
33,AUDI,S3,8L,GTI,0.6188043420721261,1.0,1074,0.35342295114881805,0.6651982378854626,0.6440337484933708,1.0,-0.019991702105669404,2022,2026,rarity|conservation|sorn_ratio|recent_inflection_point
34,LEXUS,IS-F,XE20,SPORTIVE,0.6158517800157132,1.0,239,0.49263763656015513,0.7841409691629957,0.23696682464454977,1.0,-0.03305770278994343,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
35,OPEL,VX220,VX220,ROADSTER,0.6132485189956611,1.0,655,0.3992364181741308,0.5374449339207049,0.6957726957726957,1.0,-0.009860145252144417,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
36,PEUGEOT,309 GTI,MK1,GTI,0.6072759935624396,1.0,148,0.5370374684711733,0.9955947136563877,0.8520710059171598,0.0,-0.16485250229760504,2017,2026,rarity|conservation|sorn_ratio|recent_inflection_point
37,HONDA,PRELUDE,BB,COUPE,0.6068445105737212,1.0,1039,0.3564923711092003,0.5638766519823789,0.7055150884495317,1.0,-0.011635764279257083,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
38,BMW,8 SERIES,E31,COUPE,0.605948100417764,1.0,772,0.3840104140589426,0.5066079295154186,0.7244623655913979,1.0,-0.007245242874318769,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
39,BMW,Z4 M,E85_86,ROADSTER,0.6052195655565186,1.0,458,0.4323813533566629,0.5726872246696035,0.5535714285714286,1.0,-0.012795151806230538,2024,2026,rarity|conservation|sorn_ratio|recent_inflection_point
40,RENAULT,CLIO RS,MK3,GTI,0.5950957457164132,1.0,2575,0.2724093821293651,0.8722466960352424,0.40845393981162414,1.0,-0.04328887625428875,2024,2025,rarity|conservation|sorn_ratio|recent_inflection_point
41,VOLKSWAGEN,POLO GTI,9N,GTI,0.5915217962058037,1.0,636,0.4019635539408234,0.6916299559471366,0.3896353166986564,1.0,-0.023445569401762387,2022,2025,rarity|conservation|sorn_ratio|recent_inflection_point
