country,make_raw,make,model_gen_raw,model_raw,model_gen,generation,count,source_file
GB,TOYOTA,TOYOTA,TOYOTA RAV4,RAV-4 GX AUTO,,,211372,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,FORD,FORD,FORD CORTINA,CORTINA,,,208829,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,TOYOTA,TOYOTA,TOYOTA IQ,IQ2 VVT-I CVT,,,197397,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,TVR,TVR,TVR MODEL MISSING,MODEL MISSING,,,177909,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,RENAULT,RENAULT,RENAULT GRAND SCENIC,GSCENIC PRIVILEGE T-T DCI,,,176889,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,SAAB,SAAB,SAAB MODEL MISSING,MODEL MISSING,,,171543,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,RENAULT,RENAULT,RENAULT GRAND SCENIC,G-SCENIC DYNAMIQUE VVT,,,168217,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,RENAULT,RENAULT,RENAULT CLIO,RENAULTSPORT CLIO 16V,,,167274,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,AUDI,AUDI,AUDI TTS,TTS TFSI QUATTRO S-A,,,155667,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,RENAULT,RENAULT,RENAULT GRAND SCENIC,G-SCENIC DYN-7 DCI 106,,,155667,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,MERCEDES,MERCEDES-BENZ,MERCEDES GLA CLASS,GLA220 AMGLINE PREM+CDI 4MAT A,,,150077,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,MERCEDES,MERCEDES-BENZ,MERCEDES A CLASS,A45 AMG 4MATIC AUTO,,,144610,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,RENAULT,RENAULT,RENAULT MODUS,G-MODUS DYNAMIQUE TCE,,,143866,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,ASTON MARTIN,ASTON MARTIN,ASTON MARTIN MODEL MISSING,MODEL MISSING,,,143328,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,MINI,MINI,MINI MODEL MISSING,MODEL MISSING,,,139382,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,VOLKSWAGEN,VOLKSWAGEN,VOLKSWAGEN 1300,1300,,,134900,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,SEAT,SEAT,SEAT MODEL MISSING,MODEL MISSING,,,134358,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,PEUGEOT,PEUGEOT,PEUGEOT HORIZON,HORIZON S AC,,,124869,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,RENAULT,RENAULT,RENAULT MODUS,G-MODUS DYNAMIQUE DCI 86,,,124800,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,FORD,FORD,FORD PREFECT,PREFECT,,,121781,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,RENAULT,RENAULT,RENAULT GRAND SCENIC,G SCENIC DY-IQUE TTOM DCI,,,120622,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,FORD,FORD,FORD CORTINA,CORTINA L,,,118672,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,MG,MG,MG ROADSTER,ROADSTER,,,116686,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,FORD,FORD,FORD CORTINA,CORTINA GL,,,115347,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,FORD,FORD,FORD CONSUL,CONSUL,,,114305,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,SKODA,SKODA,SKODA MODEL MISSING,MODEL MISSING,,,112788,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,VOLKSWAGEN,VOLKSWAGEN,VOLKSWAGEN BEETLE,1303 BEETLE,,,111884,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,TOYOTA,TOYOTA,TOYOTA IQ,IQ3 VVT-I,,,111808,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,MINI,MINI,MINI COUNTRYMAN,C-MAN COOPER S E ALL4 CLASSC A,,,110258,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,CITROEN,CITROEN,CITROEN BX,BX17 TZD DIESEL TURBO,,,108997,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,LANCIA,LANCIA,LANCIA MODEL MISSING,MODEL MISSING,,,107784,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,CITROEN,CITROEN,CITROEN BX,BX19 TGD DIESEL,,,107470,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,FIAT,FIAT,FIAT X1/9,X1/9,,,105901,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,MERCEDES,MERCEDES-BENZ,MERCEDES C CLASS,C180K AVANTGARDE SE AUTO,,,102485,df_VEH0120_GB.csv|df_VEH0124_AM.csv
