country,total,mapped,unknown,coverage,table
GB,2738138014,2710536642,28591154,0.9899196564019508,fleet_stock
NL,9168035,9021461,16,0.9840124955892947,fleet_stock
GB,48934340,48547224,543935,0.9920890728269759,fleet_new_reg
